Found Java version 17.0.17
Available memory: 15707 MB
Using JVM args: -Xmx3926m
1378 [main] INFO  org.parosproxy.paros.Constant - Copying default configuration to /home/zap/.ZAP_D/config.xml
1790 [main] INFO  org.parosproxy.paros.Constant - Creating directory /home/zap/.ZAP_D/session
1796 [main] INFO  org.parosproxy.paros.Constant - Creating directory /home/zap/.ZAP_D/dirbuster
1799 [main] INFO  org.parosproxy.paros.Constant - Creating directory /home/zap/.ZAP_D/fuzzers
1809 [main] INFO  org.parosproxy.paros.Constant - Creating directory /home/zap/.ZAP_D/plugin
2058 [main] INFO  org.zaproxy.zap.DaemonBootstrap - ZAP D-2025-11-10 started 13/11/2025, 02:49:52 with home: /home/zap/.ZAP_D/ cores: 22 maxMemory: 3 GB
2176 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config database.recoverylog = false was null
2178 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.disablekey = true was null
2180 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.name = .* was null
2182 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.regex = true was null
2183 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config spider.maxDuration = 10 was null
2184 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config stats.pkg.fullscan-api = 1 was null
8811 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Installed add-ons: [[id=accessControl, version=11.0.0], [id=alertFilters, version=26.0.0], [id=ascanrules, version=76.0.0], [id=ascanrulesBeta, version=64.0.0], [id=authhelper, version=0.33.0], [id=automation, version=0.57.0], [id=bruteforce, version=19.0.0], [id=callhome, version=0.18.0], [id=client, version=0.19.0], [id=commonlib, version=1.39.0], [id=coreLang, version=16.0.0], [id=database, version=0.9.0], [id=diff, version=18.0.0], [id=directorylistv1, version=10.0.0], [id=domxss, version=23.0.0], [id=encoder, version=1.8.0], [id=exim, version=0.16.0], [id=formhandler, version=6.8.0], [id=fuzz, version=13.17.0], [id=gettingStarted, version=20.0.0], [id=graaljs, version=0.12.0], [id=graphql, version=0.29.0], [id=grpc, version=0.3.0], [id=help, version=22.0.0], [id=hud, version=0.20.0], [id=invoke, version=17.0.0], [id=network, version=0.24.0], [id=oast, version=0.24.0], [id=onlineMenu, version=15.0.0], [id=openapi, version=48.0.0], [id=plugnhack, version=14.0.0], [id=postman, version=0.8.0], [id=pscan, version=0.6.0], [id=pscanrules, version=70.0.0], [id=pscanrulesBeta, version=48.0.0], [id=quickstart, version=53.0.0], [id=replacer, version=21.0.0], [id=reports, version=0.43.0], [id=requester, version=7.9.0], [id=retest, version=0.12.0], [id=retire, version=0.51.0], [id=reveal, version=11.0.0], [id=scanpolicies, version=0.7.0], [id=scripts, version=45.16.0], [id=selenium, version=15.42.0], [id=sequence, version=9.0.0], [id=soap, version=29.0.0], [id=spider, version=0.18.0], [id=spiderAjax, version=23.28.0], [id=tips, version=16.0.0], [id=webdriverlinux, version=166.0.0], [id=webdrivermacos, version=166.0.0], [id=webdriverwindows, version=167.0.0], [id=websocket, version=35.0.0], [id=zest, version=48.11.0]]
8815 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Loading extensions
9796 [ZAP-daemon] INFO  org.zaproxy.addon.network.internal.TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
10646 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Extensions loaded
11208 [ZAP-daemon] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:hsqldb:file:/home/zap/.ZAP_D/session/untitled1 (HSQL Database Engine 2.7)
